Area|Sources of personal income|Ethnic group|Value|Flags
"Far North District"|"Total people stated"|"Total people, ethnic group"|37809|
"Far North District"|"Not stated"|"Total people, ethnic group"|5538|
"Whangarei District"|"Total people, sources of personal income"|"Total people, ethnic group"|60429|
"Whangarei District"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|28041|
"Whangarei District"|"Self-employment or business"|"Total people, ethnic group"|9006|
"Whangarei District"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|11283|
"Whangarei District"|"Payments from a work accident insurer"|"Total people, ethnic group"|819|
"Whangarei District"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|12234|
"Whangarei District"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|1704|
"Whangarei District"|"Unemployment benefit"|"Total people, ethnic group"|2193|
"Whangarei District"|"Sickness benefit"|"Total people, ethnic group"|1614|
"Whangarei District"|"Domestic purposes benefit"|"Total people, ethnic group"|2295|
"Whangarei District"|"Invalids benefit"|"Total people, ethnic group"|1632|
"Whangarei District"|"Student allowance"|"Total people, ethnic group"|864|
"Whangarei District"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|2451|
"Whangarei District"|"Other sources of income"|"Total people, ethnic group"|777|
"Whangarei District"|"No source of income during that time"|"Total people, ethnic group"|3642|
"Whangarei District"|"Total people stated"|"Total people, ethnic group"|55248|
"Whangarei District"|"Not stated"|"Total people, ethnic group"|5181|
"Kaipara District"|"Total people, sources of personal income"|"Total people, ethnic group"|15165|
"Kaipara District"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|6015|
"Kaipara District"|"Self-employment or business"|"Total people, ethnic group"|3381|
"Kaipara District"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|2811|
"Kaipara District"|"Payments from a work accident insurer"|"Total people, ethnic group"|258|
"Kaipara District"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|3309|
"Kaipara District"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|345|
"Kaipara District"|"Unemployment benefit"|"Total people, ethnic group"|432|
"Kaipara District"|"Sickness benefit"|"Total people, ethnic group"|516|
"Kaipara District"|"Domestic purposes benefit"|"Total people, ethnic group"|465|
"Kaipara District"|"Invalids benefit"|"Total people, ethnic group"|501|
"Kaipara District"|"Student allowance"|"Total people, ethnic group"|156|
"Kaipara District"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|576|
"Kaipara District"|"Other sources of income"|"Total people, ethnic group"|201|
"Kaipara District"|"No source of income during that time"|"Total people, ethnic group"|918|
"Kaipara District"|"Total people stated"|"Total people, ethnic group"|14004|
"Kaipara District"|"Not stated"|"Total people, ethnic group"|1158|
"Auckland"|"Total people, sources of personal income"|"Total people, ethnic group"|1119195|
"Auckland"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|588558|
"Auckland"|"Self-employment or business"|"Total people, ethnic group"|149874|
"Auckland"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|193302|
"Auckland"|"Payments from a work accident insurer"|"Total people, ethnic group"|8343|
"Auckland"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|132426|
"Auckland"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|22035|
"Auckland"|"Unemployment benefit"|"Total people, ethnic group"|29940|
"Auckland"|"Sickness benefit"|"Total people, ethnic group"|29142|
"Auckland"|"Domestic purposes benefit"|"Total people, ethnic group"|26517|
"Auckland"|"Invalids benefit"|"Total people, ethnic group"|17826|
"Auckland"|"Student allowance"|"Total people, ethnic group"|34794|
"Auckland"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|40881|
"Auckland"|"Other sources of income"|"Total people, ethnic group"|20157|
"Auckland"|"No source of income during that time"|"Total people, ethnic group"|102657|
"Auckland"|"Total people stated"|"Total people, ethnic group"|1027938|
"Auckland"|"Not stated"|"Total people, ethnic group"|91257|
"Rodney Local Board Area"|"Total people, sources of personal income"|"Total people, ethnic group"|43467|
"Rodney Local Board Area"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|20349|
"Rodney Local Board Area"|"Self-employment or business"|"Total people, ethnic group"|10710|
"Rodney Local Board Area"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|9915|
"Rodney Local Board Area"|"Payments from a work accident insurer"|"Total people, ethnic group"|594|
"Rodney Local Board Area"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|7494|
"Rodney Local Board Area"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|1122|
"Rodney Local Board Area"|"Unemployment benefit"|"Total people, ethnic group"|699|
"Rodney Local Board Area"|"Sickness benefit"|"Total people, ethnic group"|849|
"Rodney Local Board Area"|"Domestic purposes benefit"|"Total people, ethnic group"|912|
"Rodney Local Board Area"|"Invalids benefit"|"Total people, ethnic group"|672|
"Rodney Local Board Area"|"Student allowance"|"Total people, ethnic group"|630|
"Rodney Local Board Area"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|1425|
"Rodney Local Board Area"|"Other sources of income"|"Total people, ethnic group"|588|
"Rodney Local Board Area"|"No source of income during that time"|"Total people, ethnic group"|2856|
"Rodney Local Board Area"|"Total people stated"|"Total people, ethnic group"|40224|
"Rodney Local Board Area"|"Not stated"|"Total people, ethnic group"|3243|
"Hibiscus and Bays Local Board Area"|"Total people, sources of personal income"|"Total people, ethnic group"|72825|
"Hibiscus and Bays Local Board Area"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|38517|
"Hibiscus and Bays Local Board Area"|"Self-employment or business"|"Total people, ethnic group"|12219|
"Hibiscus and Bays Local Board Area"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|17646|
"Hibiscus and Bays Local Board Area"|"Payments from a work accident insurer"|"Total people, ethnic group"|687|
"Hibiscus and Bays Local Board Area"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|13887|
"Hibiscus and Bays Local Board Area"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|2622|
"Hibiscus and Bays Local Board Area"|"Unemployment benefit"|"Total people, ethnic group"|1014|
"Hibiscus and Bays Local Board Area"|"Sickness benefit"|"Total people, ethnic group"|1119|
"Hibiscus and Bays Local Board Area"|"Domestic purposes benefit"|"Total people, ethnic group"|1182|
"Hibiscus and Bays Local Board Area"|"Invalids benefit"|"Total people, ethnic group"|813|
"Hibiscus and Bays Local Board Area"|"Student allowance"|"Total people, ethnic group"|1515|
"Hibiscus and Bays Local Board Area"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|2505|
"Hibiscus and Bays Local Board Area"|"Other sources of income"|"Total people, ethnic group"|1158|
"Hibiscus and Bays Local Board Area"|"No source of income during that time"|"Total people, ethnic group"|5253|
"Hibiscus and Bays Local Board Area"|"Total people stated"|"Total people, ethnic group"|69042|
"Hibiscus and Bays Local Board Area"|"Not stated"|"Total people, ethnic group"|3783|
"Upper Harbour Local Board Area"|"Total people, sources of personal income"|"Total people, ethnic group"|43074|
"Upper Harbour Local Board Area"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|23022|
"Upper Harbour Local Board Area"|"Self-employment or business"|"Total people, ethnic group"|7197|
"Upper Harbour Local Board Area"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|8520|
"Upper Harbour Local Board Area"|"Payments from a work accident insurer"|"Total people, ethnic group"|273|
"Upper Harbour Local Board Area"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|4626|
"Upper Harbour Local Board Area"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|891|
"Upper Harbour Local Board Area"|"Unemployment benefit"|"Total people, ethnic group"|576|
"Upper Harbour Local Board Area"|"Sickness benefit"|"Total people, ethnic group"|558|
"Upper Harbour Local Board Area"|"Domestic purposes benefit"|"Total people, ethnic group"|435|
"Upper Harbour Local Board Area"|"Invalids benefit"|"Total people, ethnic group"|330|
"Upper Harbour Local Board Area"|"Student allowance"|"Total people, ethnic group"|1398|
"Upper Harbour Local Board Area"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|1422|
"Upper Harbour Local Board Area"|"Other sources of income"|"Total people, ethnic group"|1011|
"Upper Harbour Local Board Area"|"No source of income during that time"|"Total people, ethnic group"|4746|
"Upper Harbour Local Board Area"|"Total people stated"|"Total people, ethnic group"|40236|
"Upper Harbour Local Board Area"|"Not stated"|"Total people, ethnic group"|2838|
"Kaipatiki Local Board Area"|"Total people, sources of personal income"|"Total people, ethnic group"|66501|
"Kaipatiki Local Board Area"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|38229|
"Kaipatiki Local Board Area"|"Self-employment or business"|"Total people, ethnic group"|8967|
"Kaipatiki Local Board Area"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|11259|
"Kaipatiki Local Board Area"|"Payments from a work accident insurer"|"Total people, ethnic group"|525|
"Kaipatiki Local Board Area"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|7725|
"Kaipatiki Local Board Area"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|1389|
"Kaipatiki Local Board Area"|"Unemployment benefit"|"Total people, ethnic group"|1458|
"Kaipatiki Local Board Area"|"Sickness benefit"|"Total people, ethnic group"|1368|
"Kaipatiki Local Board Area"|"Domestic purposes benefit"|"Total people, ethnic group"|1188|
"Kaipatiki Local Board Area"|"Invalids benefit"|"Total people, ethnic group"|852|
"Kaipatiki Local Board Area"|"Student allowance"|"Total people, ethnic group"|2223|
"Kaipatiki Local Board Area"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|2850|
"Kaipatiki Local Board Area"|"Other sources of income"|"Total people, ethnic group"|1308|
"Kaipatiki Local Board Area"|"No source of income during that time"|"Total people, ethnic group"|5709|
"Kaipatiki Local Board Area"|"Total people stated"|"Total people, ethnic group"|61911|
"Kaipatiki Local Board Area"|"Not stated"|"Total people, ethnic group"|4587|
"Devonport-Takapuna Local Board Area"|"Total people, sources of personal income"|"Total people, ethnic group"|45183|
"Devonport-Takapuna Local Board Area"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|24174|
"Devonport-Takapuna Local Board Area"|"Self-employment or business"|"Total people, ethnic group"|8100|
"Devonport-Takapuna Local Board Area"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|12234|
"Devonport-Takapuna Local Board Area"|"Payments from a work accident insurer"|"Total people, ethnic group"|267|
"Devonport-Takapuna Local Board Area"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|7335|
"Devonport-Takapuna Local Board Area"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|1458|
"Devonport-Takapuna Local Board Area"|"Unemployment benefit"|"Total people, ethnic group"|720|
"Devonport-Takapuna Local Board Area"|"Sickness benefit"|"Total people, ethnic group"|519|
"Devonport-Takapuna Local Board Area"|"Domestic purposes benefit"|"Total people, ethnic group"|480|
