Area|Age group of sole parent|Sex of sole parent|Year|Value|Flags
"Waiheke Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|87|
"Waiheke Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|21|
"Waiheke Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|63|
"Waitemata Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|456|
"Waitemata Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|105|
"Waitemata Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|351|
"Whau Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|624|
"Whau Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|129|
"Whau Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|498|
"Albert-Eden Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|822|
"Albert-Eden Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|129|
"Albert-Eden Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|696|
"Puketapapa Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|396|
"Puketapapa Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|75|
"Puketapapa Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|318|
"Orakei Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|660|
"Orakei Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|123|
"Orakei Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|540|
"Maungakiekie-Tamaki Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|552|
"Maungakiekie-Tamaki Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|105|
"Maungakiekie-Tamaki Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|447|
"Howick Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|996|
"Howick Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|195|
"Howick Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|801|
"Mangere-Otahuhu Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|681|
"Mangere-Otahuhu Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|150|
"Mangere-Otahuhu Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|531|
"Otara-Papatoetoe Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|675|
"Otara-Papatoetoe Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|138|
"Otara-Papatoetoe Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|540|
"Manurewa Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|741|
"Manurewa Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|150|
"Manurewa Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|591|
"Papakura Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|474|
"Papakura Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|108|
"Papakura Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|363|
"Franklin Local Board Area"|"45-54 years"|"Total one parent with dependent children families"|"2013"|519|
"Franklin Local Board Area"|"45-54 years"|"Male sole parent"|"2013"|135|
"Franklin Local Board Area"|"45-54 years"|"Female sole parent"|"2013"|384|
"Thames-Coromandel District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|243|
"Thames-Coromandel District"|"45-54 years"|"Male sole parent"|"2013"|45|
"Thames-Coromandel District"|"45-54 years"|"Female sole parent"|"2013"|198|
"Hauraki District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|174|
"Hauraki District"|"45-54 years"|"Male sole parent"|"2013"|36|
"Hauraki District"|"45-54 years"|"Female sole parent"|"2013"|138|
"Waikato District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|480|
"Waikato District"|"45-54 years"|"Male sole parent"|"2013"|114|
"Waikato District"|"45-54 years"|"Female sole parent"|"2013"|369|
"Matamata-Piako District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|246|
"Matamata-Piako District"|"45-54 years"|"Male sole parent"|"2013"|51|
"Matamata-Piako District"|"45-54 years"|"Female sole parent"|"2013"|192|
"Hamilton City"|"45-54 years"|"Total one parent with dependent children families"|"2013"|1164|
"Hamilton City"|"45-54 years"|"Male sole parent"|"2013"|216|
"Hamilton City"|"45-54 years"|"Female sole parent"|"2013"|948|
"Waipa District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|366|
"Waipa District"|"45-54 years"|"Male sole parent"|"2013"|81|
"Waipa District"|"45-54 years"|"Female sole parent"|"2013"|285|
"Otorohanga District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|63|
"Otorohanga District"|"45-54 years"|"Male sole parent"|"2013"|15|
"Otorohanga District"|"45-54 years"|"Female sole parent"|"2013"|48|
"South Waikato District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|216|
"South Waikato District"|"45-54 years"|"Male sole parent"|"2013"|57|
"South Waikato District"|"45-54 years"|"Female sole parent"|"2013"|159|
"Waitomo District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|84|
"Waitomo District"|"45-54 years"|"Male sole parent"|"2013"|15|
"Waitomo District"|"45-54 years"|"Female sole parent"|"2013"|66|
"Taupo District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|249|
"Taupo District"|"45-54 years"|"Male sole parent"|"2013"|54|
"Taupo District"|"45-54 years"|"Female sole parent"|"2013"|192|
"Western Bay of Plenty District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|327|
"Western Bay of Plenty District"|"45-54 years"|"Male sole parent"|"2013"|87|
"Western Bay of Plenty District"|"45-54 years"|"Female sole parent"|"2013"|243|
"Tauranga City"|"45-54 years"|"Total one parent with dependent children families"|"2013"|1059|
"Tauranga City"|"45-54 years"|"Male sole parent"|"2013"|213|
"Tauranga City"|"45-54 years"|"Female sole parent"|"2013"|846|
"Rotorua District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|645|
"Rotorua District"|"45-54 years"|"Male sole parent"|"2013"|141|
"Rotorua District"|"45-54 years"|"Female sole parent"|"2013"|504|
"Whakatane District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|300|
"Whakatane District"|"45-54 years"|"Male sole parent"|"2013"|66|
"Whakatane District"|"45-54 years"|"Female sole parent"|"2013"|237|
"Kawerau District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|75|
"Kawerau District"|"45-54 years"|"Male sole parent"|"2013"|21|
"Kawerau District"|"45-54 years"|"Female sole parent"|"2013"|57|
"Opotiki District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|90|
"Opotiki District"|"45-54 years"|"Male sole parent"|"2013"|30|
"Opotiki District"|"45-54 years"|"Female sole parent"|"2013"|63|
"Gisborne District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|489|
"Gisborne District"|"45-54 years"|"Male sole parent"|"2013"|120|
"Gisborne District"|"45-54 years"|"Female sole parent"|"2013"|369|
"Wairoa District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|78|
"Wairoa District"|"45-54 years"|"Male sole parent"|"2013"|21|
"Wairoa District"|"45-54 years"|"Female sole parent"|"2013"|57|
"Hastings District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|672|
"Hastings District"|"45-54 years"|"Male sole parent"|"2013"|153|
"Hastings District"|"45-54 years"|"Female sole parent"|"2013"|519|
"Napier City"|"45-54 years"|"Total one parent with dependent children families"|"2013"|552|
"Napier City"|"45-54 years"|"Male sole parent"|"2013"|117|
"Napier City"|"45-54 years"|"Female sole parent"|"2013"|438|
"Central Hawke's Bay District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|93|
"Central Hawke's Bay District"|"45-54 years"|"Male sole parent"|"2013"|30|
"Central Hawke's Bay District"|"45-54 years"|"Female sole parent"|"2013"|63|
"New Plymouth District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|594|
"New Plymouth District"|"45-54 years"|"Male sole parent"|"2013"|135|
"New Plymouth District"|"45-54 years"|"Female sole parent"|"2013"|459|
"Stratford District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|72|
"Stratford District"|"45-54 years"|"Male sole parent"|"2013"|12|
"Stratford District"|"45-54 years"|"Female sole parent"|"2013"|57|
"South Taranaki District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|183|
"South Taranaki District"|"45-54 years"|"Male sole parent"|"2013"|54|
"South Taranaki District"|"45-54 years"|"Female sole parent"|"2013"|129|
"Ruapehu District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|93|
"Ruapehu District"|"45-54 years"|"Male sole parent"|"2013"|27|
"Ruapehu District"|"45-54 years"|"Female sole parent"|"2013"|63|
"Wanganui District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|453|
"Wanganui District"|"45-54 years"|"Male sole parent"|"2013"|96|
"Wanganui District"|"45-54 years"|"Female sole parent"|"2013"|354|
"Rangitikei District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|84|
"Rangitikei District"|"45-54 years"|"Male sole parent"|"2013"|12|
"Rangitikei District"|"45-54 years"|"Female sole parent"|"2013"|75|
"Manawatu District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|216|
"Manawatu District"|"45-54 years"|"Male sole parent"|"2013"|63|
"Manawatu District"|"45-54 years"|"Female sole parent"|"2013"|153|
"Palmerston North City"|"45-54 years"|"Total one parent with dependent children families"|"2013"|633|
"Palmerston North City"|"45-54 years"|"Male sole parent"|"2013"|126|
"Palmerston North City"|"45-54 years"|"Female sole parent"|"2013"|507|
"Tararua District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|129|
"Tararua District"|"45-54 years"|"Male sole parent"|"2013"|21|
"Tararua District"|"45-54 years"|"Female sole parent"|"2013"|105|
"Horowhenua District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|276|
"Horowhenua District"|"45-54 years"|"Male sole parent"|"2013"|60|
"Horowhenua District"|"45-54 years"|"Female sole parent"|"2013"|216|
"Kapiti Coast District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|453|
"Kapiti Coast District"|"45-54 years"|"Male sole parent"|"2013"|105|
"Kapiti Coast District"|"45-54 years"|"Female sole parent"|"2013"|348|
"Porirua City"|"45-54 years"|"Total one parent with dependent children families"|"2013"|435|
"Porirua City"|"45-54 years"|"Male sole parent"|"2013"|90|
"Porirua City"|"45-54 years"|"Female sole parent"|"2013"|345|
"Upper Hutt City"|"45-54 years"|"Total one parent with dependent children families"|"2013"|333|
"Upper Hutt City"|"45-54 years"|"Male sole parent"|"2013"|75|
"Upper Hutt City"|"45-54 years"|"Female sole parent"|"2013"|258|
"Lower Hutt City"|"45-54 years"|"Total one parent with dependent children families"|"2013"|813|
"Lower Hutt City"|"45-54 years"|"Male sole parent"|"2013"|183|
"Lower Hutt City"|"45-54 years"|"Female sole parent"|"2013"|630|
"Wellington City"|"45-54 years"|"Total one parent with dependent children families"|"2013"|1428|
"Wellington City"|"45-54 years"|"Male sole parent"|"2013"|324|
"Wellington City"|"45-54 years"|"Female sole parent"|"2013"|1104|
"Masterton District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|204|
"Masterton District"|"45-54 years"|"Male sole parent"|"2013"|51|
"Masterton District"|"45-54 years"|"Female sole parent"|"2013"|150|
"Carterton District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|42|
"Carterton District"|"45-54 years"|"Male sole parent"|"2013"|12|
"Carterton District"|"45-54 years"|"Female sole parent"|"2013"|33|
"South Wairarapa District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|72|
"South Wairarapa District"|"45-54 years"|"Male sole parent"|"2013"|18|
"South Wairarapa District"|"45-54 years"|"Female sole parent"|"2013"|51|
"Tasman District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|351|
"Tasman District"|"45-54 years"|"Male sole parent"|"2013"|75|
"Tasman District"|"45-54 years"|"Female sole parent"|"2013"|273|
"Nelson City"|"45-54 years"|"Total one parent with dependent children families"|"2013"|453|
"Nelson City"|"45-54 years"|"Male sole parent"|"2013"|93|
"Nelson City"|"45-54 years"|"Female sole parent"|"2013"|360|
"Marlborough District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|294|
"Marlborough District"|"45-54 years"|"Male sole parent"|"2013"|69|
"Marlborough District"|"45-54 years"|"Female sole parent"|"2013"|225|
"Kaikoura District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|18|
"Kaikoura District"|"45-54 years"|"Male sole parent"|"2013"||c
"Kaikoura District"|"45-54 years"|"Female sole parent"|"2013"|15|
"Buller District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|63|
"Buller District"|"45-54 years"|"Male sole parent"|"2013"|24|
"Buller District"|"45-54 years"|"Female sole parent"|"2013"|39|
"Grey District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|66|
"Grey District"|"45-54 years"|"Male sole parent"|"2013"|15|
"Grey District"|"45-54 years"|"Female sole parent"|"2013"|51|
"Westland District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|54|
"Westland District"|"45-54 years"|"Male sole parent"|"2013"|18|
"Westland District"|"45-54 years"|"Female sole parent"|"2013"|36|
"Hurunui District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|57|
"Hurunui District"|"45-54 years"|"Male sole parent"|"2013"|15|
"Hurunui District"|"45-54 years"|"Female sole parent"|"2013"|39|
"Waimakariri District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|327|
"Waimakariri District"|"45-54 years"|"Male sole parent"|"2013"|69|
"Waimakariri District"|"45-54 years"|"Female sole parent"|"2013"|258|
"Christchurch City"|"45-54 years"|"Total one parent with dependent children families"|"2013"|2820|
"Christchurch City"|"45-54 years"|"Male sole parent"|"2013"|624|
"Christchurch City"|"45-54 years"|"Female sole parent"|"2013"|2193|
"Selwyn District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|222|
"Selwyn District"|"45-54 years"|"Male sole parent"|"2013"|60|
"Selwyn District"|"45-54 years"|"Female sole parent"|"2013"|162|
"Ashburton District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|162|
"Ashburton District"|"45-54 years"|"Male sole parent"|"2013"|51|
"Ashburton District"|"45-54 years"|"Female sole parent"|"2013"|114|
"Timaru District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|327|
"Timaru District"|"45-54 years"|"Male sole parent"|"2013"|60|
"Timaru District"|"45-54 years"|"Female sole parent"|"2013"|267|
"Mackenzie District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|21|
"Mackenzie District"|"45-54 years"|"Male sole parent"|"2013"|9|
"Mackenzie District"|"45-54 years"|"Female sole parent"|"2013"|12|
"Waimate District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|42|
"Waimate District"|"45-54 years"|"Male sole parent"|"2013"|12|
"Waimate District"|"45-54 years"|"Female sole parent"|"2013"|30|
"Chatham Islands Territory"|"45-54 years"|"Total one parent with dependent children families"|"2013"||c
"Chatham Islands Territory"|"45-54 years"|"Male sole parent"|"2013"||c
"Chatham Islands Territory"|"45-54 years"|"Female sole parent"|"2013"||c
"Waitaki District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|126|
"Waitaki District"|"45-54 years"|"Male sole parent"|"2013"|30|
"Waitaki District"|"45-54 years"|"Female sole parent"|"2013"|96|
"Central Otago District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|99|
"Central Otago District"|"45-54 years"|"Male sole parent"|"2013"|24|
"Central Otago District"|"45-54 years"|"Female sole parent"|"2013"|72|
"Queenstown-Lakes District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|159|
"Queenstown-Lakes District"|"45-54 years"|"Male sole parent"|"2013"|39|
"Queenstown-Lakes District"|"45-54 years"|"Female sole parent"|"2013"|123|
"Dunedin City"|"45-54 years"|"Total one parent with dependent children families"|"2013"|855|
"Dunedin City"|"45-54 years"|"Male sole parent"|"2013"|162|
"Dunedin City"|"45-54 years"|"Female sole parent"|"2013"|696|
"Clutha District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|93|
"Clutha District"|"45-54 years"|"Male sole parent"|"2013"|30|
"Clutha District"|"45-54 years"|"Female sole parent"|"2013"|63|
"Southland District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|117|
"Southland District"|"45-54 years"|"Male sole parent"|"2013"|36|
"Southland District"|"45-54 years"|"Female sole parent"|"2013"|81|
"Gore District"|"45-54 years"|"Total one parent with dependent children families"|"2013"|57|
"Gore District"|"45-54 years"|"Male sole parent"|"2013"|15|
"Gore District"|"45-54 years"|"Female sole parent"|"2013"|42|
"Invercargill City"|"45-54 years"|"Total one parent with dependent children families"|"2013"|363|
"Invercargill City"|"45-54 years"|"Male sole parent"|"2013"|75|
"Invercargill City"|"45-54 years"|"Female sole parent"|"2013"|285|
"Total, Territorial Authority areas"|"45-54 years"|"Total one parent with dependent children families"|"2013"|34668|
"Total, Territorial Authority areas"|"45-54 years"|"Male sole parent"|"2013"|7461|
"Total, Territorial Authority areas"|"45-54 years"|"Female sole parent"|"2013"|27210|
"Area outside territorial authority"|"45-54 years"|"Total one parent with dependent children families"|"2013"||c
"Area outside territorial authority"|"45-54 years"|"Male sole parent"|"2013"||c
"Area outside territorial authority"|"45-54 years"|"Female sole parent"|"2013"||c
"Total, New Zealand by regional council"|"55 years and over"|"Total one parent with dependent children families"|"2013"|7065|
"Total, New Zealand by regional council"|"55 years and over"|"Male sole parent"|"2013"|2415|
"Total, New Zealand by regional council"|"55 years and over"|"Female sole parent"|"2013"|4650|
"Total, New Zealand by territorial authority"|"55 years and over"|"Total one parent with dependent children families"|"2013"|7065|
"Total, New Zealand by territorial authority"|"55 years and over"|"Male sole parent"|"2013"|2415|
"Total, New Zealand by territorial authority"|"55 years and over"|"Female sole parent"|"2013"|4653|
"Northland Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|438|
"Northland Region"|"55 years and over"|"Male sole parent"|"2013"|138|
"Northland Region"|"55 years and over"|"Female sole parent"|"2013"|303|
"Auckland Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|2388|
"Auckland Region"|"55 years and over"|"Male sole parent"|"2013"|780|
"Auckland Region"|"55 years and over"|"Female sole parent"|"2013"|1608|
"Waikato Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|735|
"Waikato Region"|"55 years and over"|"Male sole parent"|"2013"|234|
"Waikato Region"|"55 years and over"|"Female sole parent"|"2013"|498|
"Bay of Plenty Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|570|
"Bay of Plenty Region"|"55 years and over"|"Male sole parent"|"2013"|204|
"Bay of Plenty Region"|"55 years and over"|"Female sole parent"|"2013"|363|
"Gisborne Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|165|
"Gisborne Region"|"55 years and over"|"Male sole parent"|"2013"|48|
"Gisborne Region"|"55 years and over"|"Female sole parent"|"2013"|117|
"Hawke's Bay Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|333|
"Hawke's Bay Region"|"55 years and over"|"Male sole parent"|"2013"|105|
"Hawke's Bay Region"|"55 years and over"|"Female sole parent"|"2013"|225|
"Taranaki Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|174|
"Taranaki Region"|"55 years and over"|"Male sole parent"|"2013"|72|
"Taranaki Region"|"55 years and over"|"Female sole parent"|"2013"|99|
"Manawatu-Wanganui Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|396|
"Manawatu-Wanganui Region"|"55 years and over"|"Male sole parent"|"2013"|132|
"Manawatu-Wanganui Region"|"55 years and over"|"Female sole parent"|"2013"|264|
"Wellington Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|714|
"Wellington Region"|"55 years and over"|"Male sole parent"|"2013"|258|
"Wellington Region"|"55 years and over"|"Female sole parent"|"2013"|456|
"Tasman Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|54|
"Tasman Region"|"55 years and over"|"Male sole parent"|"2013"|27|
"Tasman Region"|"55 years and over"|"Female sole parent"|"2013"|30|
"Nelson Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|66|
"Nelson Region"|"55 years and over"|"Male sole parent"|"2013"|24|
"Nelson Region"|"55 years and over"|"Female sole parent"|"2013"|45|
"Marlborough Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|48|
"Marlborough Region"|"55 years and over"|"Male sole parent"|"2013"|21|
"Marlborough Region"|"55 years and over"|"Female sole parent"|"2013"|30|
"West Coast Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|33|
"West Coast Region"|"55 years and over"|"Male sole parent"|"2013"|12|
"West Coast Region"|"55 years and over"|"Female sole parent"|"2013"|21|
"Canterbury Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|624|
"Canterbury Region"|"55 years and over"|"Male sole parent"|"2013"|225|
"Canterbury Region"|"55 years and over"|"Female sole parent"|"2013"|399|
"Otago Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|204|
"Otago Region"|"55 years and over"|"Male sole parent"|"2013"|87|
"Otago Region"|"55 years and over"|"Female sole parent"|"2013"|117|
"Southland Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"|120|
"Southland Region"|"55 years and over"|"Male sole parent"|"2013"|45|
"Southland Region"|"55 years and over"|"Female sole parent"|"2013"|75|
"Total, Regional Council Areas"|"55 years and over"|"Total one parent with dependent children families"|"2013"|7062|
"Total, Regional Council Areas"|"55 years and over"|"Male sole parent"|"2013"|2412|
"Total, Regional Council Areas"|"55 years and over"|"Female sole parent"|"2013"|4650|
"Area Outside Region"|"55 years and over"|"Total one parent with dependent children families"|"2013"||c
"Area Outside Region"|"55 years and over"|"Male sole parent"|"2013"||c
"Area Outside Region"|"55 years and over"|"Female sole parent"|"2013"||c
"Far North District"|"55 years and over"|"Total one parent with dependent children families"|"2013"|204|
"Far North District"|"55 years and over"|"Male sole parent"|"2013"|66|
"Far North District"|"55 years and over"|"Female sole parent"|"2013"|141|
"Whangarei District"|"55 years and over"|"Total one parent with dependent children families"|"2013"|186|
"Whangarei District"|"55 years and over"|"Male sole parent"|"2013"|51|
"Whangarei District"|"55 years and over"|"Female sole parent"|"2013"|132|
"Kaipara District"|"55 years and over"|"Total one parent with dependent children families"|"2013"|48|
"Kaipara District"|"55 years and over"|"Male sole parent"|"2013"|21|
"Kaipara District"|"55 years and over"|"Female sole parent"|"2013"|27|
"Auckland"|"55 years and over"|"Total one parent with dependent children families"|"2013"|2388|
"Auckland"|"55 years and over"|"Male sole parent"|"2013"|780|
"Auckland"|"55 years and over"|"Female sole parent"|"2013"|1608|
"Rodney Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|81|
"Rodney Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|33|
"Rodney Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|48|
"Hibiscus and Bays Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|105|
"Hibiscus and Bays Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|42|
"Hibiscus and Bays Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|63|
"Upper Harbour Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|45|
"Upper Harbour Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|18|
"Upper Harbour Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|27|
"Kaipatiki Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|87|
"Kaipatiki Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|33|
"Kaipatiki Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|54|
"Devonport-Takapuna Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|66|
"Devonport-Takapuna Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|24|
"Devonport-Takapuna Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|42|
"Henderson-Massey Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|216|
"Henderson-Massey Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|60|
"Henderson-Massey Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|156|
"Waitakere Ranges Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|75|
"Waitakere Ranges Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|27|
"Waitakere Ranges Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|48|
"Great Barrier Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"||c
"Great Barrier Local Board Area"|"55 years and over"|"Male sole parent"|"2013"||c
"Great Barrier Local Board Area"|"55 years and over"|"Female sole parent"|"2013"||c
"Waiheke Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|15|
"Waiheke Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|6|
"Waiheke Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|9|
"Waitemata Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|69|
"Waitemata Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|30|
"Waitemata Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|39|
"Whau Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|129|
"Whau Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|39|
"Whau Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|90|
"Albert-Eden Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|165|
"Albert-Eden Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|63|
"Albert-Eden Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|102|
"Puketapapa Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|96|
"Puketapapa Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|30|
"Puketapapa Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|66|
"Orakei Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|120|
"Orakei Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|48|
"Orakei Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|72|
"Maungakiekie-Tamaki Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|153|
"Maungakiekie-Tamaki Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|45|
"Maungakiekie-Tamaki Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|108|
"Howick Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|138|
"Howick Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|45|
"Howick Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|96|
"Mangere-Otahuhu Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|243|
"Mangere-Otahuhu Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|66|
"Mangere-Otahuhu Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|180|
"Otara-Papatoetoe Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|231|
"Otara-Papatoetoe Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|66|
"Otara-Papatoetoe Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|168|
"Manurewa Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|207|
"Manurewa Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|63|
"Manurewa Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|144|
"Papakura Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|75|
"Papakura Local Board Area"|"55 years and over"|"Male sole parent"|"2013"|18|
"Papakura Local Board Area"|"55 years and over"|"Female sole parent"|"2013"|57|
"Franklin Local Board Area"|"55 years and over"|"Total one parent with dependent children families"|"2013"|75|
