Area|Age group|Occupied dwelling type|Value|Flags
"Wellington Region"|"Total people, age group"|"Defence establishment"|90|
"Wellington Region"|"Total people, age group"|"Night shelter"|30|
"Wellington Region"|"Total people, age group"|"Total usual residents in institutions"|7872|
"Wellington Region"|"Total people, age group"|"Hotel, motel, or guest accommodation"|1380|
"Wellington Region"|"Total people, age group"|"Boarding house"|516|
"Wellington Region"|"Total people, age group"|"Moto camp/camping ground"|33|
"Wellington Region"|"Total people, age group"|"Work, construction, or training camp"|6|
"Wellington Region"|"Total people, age group"|"Youth, school, or scout/guide camp"|12|
"Wellington Region"|"Total people, age group"|"Communal staff quarters"|9|
"Wellington Region"|"Total people, age group"|"Commercial vessel"|0|
"Wellington Region"|"Total people, age group"|"Marae complex"|3|
"Wellington Region"|"Total people, age group"|"Total usual residents in other occupied non-private dwellings"|1956|
"Wellington Region"|"Total people, age group"|"Occupied non-private dwelling not further defined"|15|
"Tasman Region"|"Total people, age group"|"Total usual residents in occupied dwellings"|46554|
"Tasman Region"|"Total people, age group"|"Separate house no storey information"|93|
"Tasman Region"|"Total people, age group"|"Separate house with one storey"|31983|
"Tasman Region"|"Total people, age group"|"Separate house with two or more storeys"|8727|
"Tasman Region"|"Total people, age group"|"Total usual residents in separate houses"|40803|
"Tasman Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|12|
"Tasman Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|1857|
"Tasman Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|522|
"Tasman Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"Tasman Region"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|2391|
"Tasman Region"|"Total people, age group"|"Dwelling in a motor camp"|129|
"Tasman Region"|"Total people, age group"|"Mobile dwelling not in a motor camp"|462|
"Tasman Region"|"Total people, age group"|"Improvised dwelling or shelter"|168|
"Tasman Region"|"Total people, age group"|"Roofless or rough sleeper"|3|
"Tasman Region"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|762|
"Tasman Region"|"Total people, age group"|"Occupied private dwelling not further defined"|1698|
"Tasman Region"|"Total people, age group"|"Residential care for older people"|357|
"Tasman Region"|"Total people, age group"|"Public hospital"|9|
"Tasman Region"|"Total people, age group"|"Private hospital"|3|
"Tasman Region"|"Total people, age group"|"Residential and community care facilities"|51|
"Tasman Region"|"Total people, age group"|"Welfare institution"|0|
"Tasman Region"|"Total people, age group"|"Educational institution"|12|
"Tasman Region"|"Total people, age group"|"Religious institution"|0|
"Tasman Region"|"Total people, age group"|"Prison or penal institution"|0|
"Tasman Region"|"Total people, age group"|"Defence establishment"|0|
"Tasman Region"|"Total people, age group"|"Night shelter"|0|
"Tasman Region"|"Total people, age group"|"Total usual residents in institutions"|432|
"Tasman Region"|"Total people, age group"|"Hotel, motel, or guest accommodation"|174|
"Tasman Region"|"Total people, age group"|"Boarding house"|18|
"Tasman Region"|"Total people, age group"|"Moto camp/camping ground"|45|
"Tasman Region"|"Total people, age group"|"Work, construction, or training camp"|12|
"Tasman Region"|"Total people, age group"|"Youth, school, or scout/guide camp"|3|
"Tasman Region"|"Total people, age group"|"Communal staff quarters"|189|
"Tasman Region"|"Total people, age group"|"Commercial vessel"|0|
"Tasman Region"|"Total people, age group"|"Marae complex"|3|
"Tasman Region"|"Total people, age group"|"Total usual residents in other occupied non-private dwellings"|441|
"Tasman Region"|"Total people, age group"|"Occupied non-private dwelling not further defined"|27|
"Nelson Region"|"Total people, age group"|"Total usual residents in occupied dwellings"|45888|
"Nelson Region"|"Total people, age group"|"Separate house no storey information"|147|
"Nelson Region"|"Total people, age group"|"Separate house with one storey"|25344|
"Nelson Region"|"Total people, age group"|"Separate house with two or more storeys"|11484|
"Nelson Region"|"Total people, age group"|"Total usual residents in separate houses"|36975|
"Nelson Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|30|
"Nelson Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|3546|
"Nelson Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|1824|
"Nelson Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|81|
"Nelson Region"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|5484|
"Nelson Region"|"Total people, age group"|"Dwelling in a motor camp"|225|
"Nelson Region"|"Total people, age group"|"Mobile dwelling not in a motor camp"|108|
"Nelson Region"|"Total people, age group"|"Improvised dwelling or shelter"|33|
"Nelson Region"|"Total people, age group"|"Roofless or rough sleeper"|0|
"Nelson Region"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|363|
"Nelson Region"|"Total people, age group"|"Occupied private dwelling not further defined"|1728|
"Nelson Region"|"Total people, age group"|"Residential care for older people"|651|
"Nelson Region"|"Total people, age group"|"Public hospital"|9|
"Nelson Region"|"Total people, age group"|"Private hospital"|0|
"Nelson Region"|"Total people, age group"|"Residential and community care facilities"|222|
"Nelson Region"|"Total people, age group"|"Welfare institution"|0|
"Nelson Region"|"Total people, age group"|"Educational institution"|60|
"Nelson Region"|"Total people, age group"|"Religious institution"|0|
"Nelson Region"|"Total people, age group"|"Prison or penal institution"|12|
"Nelson Region"|"Total people, age group"|"Defence establishment"|0|
"Nelson Region"|"Total people, age group"|"Night shelter"|0|
"Nelson Region"|"Total people, age group"|"Total usual residents in institutions"|960|
"Nelson Region"|"Total people, age group"|"Hotel, motel, or guest accommodation"|372|
"Nelson Region"|"Total people, age group"|"Boarding house"|0|
"Nelson Region"|"Total people, age group"|"Moto camp/camping ground"|3|
"Nelson Region"|"Total people, age group"|"Work, construction, or training camp"|0|
"Nelson Region"|"Total people, age group"|"Youth, school, or scout/guide camp"|0|
"Nelson Region"|"Total people, age group"|"Communal staff quarters"|0|
"Nelson Region"|"Total people, age group"|"Commercial vessel"|0|
"Nelson Region"|"Total people, age group"|"Marae complex"|3|
"Nelson Region"|"Total people, age group"|"Total usual residents in other occupied non-private dwellings"|375|
"Nelson Region"|"Total people, age group"|"Occupied non-private dwelling not further defined"|6|
"Marlborough Region"|"Total people, age group"|"Total usual residents in occupied dwellings"|42660|
"Marlborough Region"|"Total people, age group"|"Separate house no storey information"|126|
"Marlborough Region"|"Total people, age group"|"Separate house with one storey"|29979|
"Marlborough Region"|"Total people, age group"|"Separate house with two or more storeys"|6414|
"Marlborough Region"|"Total people, age group"|"Total usual residents in separate houses"|36519|
"Marlborough Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|33|
"Marlborough Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|2742|
"Marlborough Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|483|
"Marlborough Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|24|
"Marlborough Region"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|3279|
"Marlborough Region"|"Total people, age group"|"Dwelling in a motor camp"|60|
"Marlborough Region"|"Total people, age group"|"Mobile dwelling not in a motor camp"|174|
"Marlborough Region"|"Total people, age group"|"Improvised dwelling or shelter"|48|
"Marlborough Region"|"Total people, age group"|"Roofless or rough sleeper"|0|
"Marlborough Region"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|279|
"Marlborough Region"|"Total people, age group"|"Occupied private dwelling not further defined"|1701|
"Marlborough Region"|"Total people, age group"|"Residential care for older people"|465|
"Marlborough Region"|"Total people, age group"|"Public hospital"|6|
"Marlborough Region"|"Total people, age group"|"Private hospital"|0|
"Marlborough Region"|"Total people, age group"|"Residential and community care facilities"|42|
"Marlborough Region"|"Total people, age group"|"Welfare institution"|0|
"Marlborough Region"|"Total people, age group"|"Educational institution"|6|
"Marlborough Region"|"Total people, age group"|"Religious institution"|0|
"Marlborough Region"|"Total people, age group"|"Prison or penal institution"|0|
"Marlborough Region"|"Total people, age group"|"Defence establishment"|72|
"Marlborough Region"|"Total people, age group"|"Night shelter"|0|
